Property,Description,DataType,Nullable,Unique,Readonly,MinLength,MaxLength
_embedded,Embedded resources related to the app,"JSON HAL
(opens new window)",TRUE,FALSE,TRUE,,
_links,Discoverable resources related to the app,"JSON HAL
(opens new window)",TRUE,FALSE,TRUE,,
accessibility,Access settings for app,Accessibility object,TRUE,FALSE,FALSE,,
created,Timestamp when app was created,Date,FALSE,FALSE,TRUE,,
credentials,Credentials for the specified signOnMode,Application Credentials object,TRUE,FALSE,FALSE,,
features,Enabled app features,Features,TRUE,FALSE,FALSE,,
id,Unique key for app,String,FALSE,TRUE,TRUE,,
label,Unique user-defined display name for app,String,FALSE,TRUE,FALSE,1,100
lastUpdated,Timestamp when app was last updated,Date,FALSE,FALSE,TRUE,,
name,Unique key for app definition,String (App Names),FALSE,TRUE,TRUE,1,255
profile,Valid JSON schema for specifying properties,JSON,TRUE,FALSE,FALSE,,
request_object_signing_alg,The type of JSON Web Key Set (JWKS) algorithm that must be used for signing request objects,"HS256, HS384, HS512, RS256, RS384, RS512, ES256, ES384, ES512",TRUE,FALSE,FALSE,,
settings,Settings for app,Object (App Settings),TRUE,FALSE,FALSE,,
signOnMode,Authentication mode of app,SignOn Mode,FALSE,FALSE,FALSE,,
status,Status of app,ACTIVE or INACTIVE,FALSE,FALSE,TRUE,,
